scene             class        q_c  drop/e0    gap
windy             amp        0.018    0.109   0.48
windy             rate       0.000    0.105   1.00
windy             rise       0.009    0.327   0.99
windy             cool       0.247    0.246   0.53
windy             width      0.377    0.158   0.14
windy             jitter     0.004    0.000   1.00
windy             wind       0.238    0.084   0.57
windy             base       0.083    0.045   0.00
windy             soot       0.090    0.000   1.00
windy             profile    0.037    0.018   0.04
windy             floor      0.154    0.000   1.00
  -> oracle rise (gap 0.99) pick width (gap 0.14) value 0.48  [20s]
obstacle          amp        0.049    0.215   0.50
obstacle          rate       0.000    0.125   1.00
obstacle          rise       0.010    0.371   0.98
obstacle          cool       0.350    0.319   0.49
obstacle          width      0.476    0.222   0.10
obstacle          jitter     0.018    0.000   1.00
obstacle          wind       0.176   -0.009   0.83
obstacle          deflect    0.499    0.336   0.14
obstacle          base       0.035    0.014   0.00
obstacle          soot       0.076    0.010   0.00
obstacle          profile    0.073    0.031   0.03
obstacle          floor      0.294    0.000   1.00
  -> oracle rise (gap 0.98) pick deflect (gap 0.14) value 0.90  [37s]
twin              amp        0.027    0.019   0.58
twin              rate       0.000    0.014   1.00
twin              rise       0.008    0.126   0.96
twin              cool       0.118    0.088   0.46
twin              width      0.203    0.091   0.09
twin              jitter     0.007    0.001   0.30
twin              wind       0.131   -0.044   0.79
twin              base       0.117    0.070   0.03
twin              soot       0.168    0.000   1.00
twin              attract    0.193    0.086   0.00
twin              profile    0.223    0.107   0.05
twin              floor      0.065    0.000   1.00
  -> oracle rise (gap 0.96) pick profile (gap 0.05) value 0.85  [56s]
split             amp        0.065    0.276   0.54
split             rate       0.000    0.233   1.00
split             rise       0.008    0.546   0.99
split             cool       0.404    0.483   0.50
split             width      0.621    0.358   0.11
split             jitter     0.000    0.000   1.00
split             wind       0.198    0.277   0.82
split             deflect    0.530    0.360   0.21
split             base       0.024    0.011   0.00
split             soot       0.037    0.002   0.00
split             profile    0.174    0.085   0.04
split             floor      0.434    0.000   1.00
  -> oracle rise (gap 0.99) pick width (gap 0.11) value 0.66  [75s]
shutoff           amp        0.028    0.075   0.49
shutoff           rate       0.046    0.048   0.42
shutoff           rise       0.012    0.054   0.99
shutoff           cool       0.164    0.131   0.49
shutoff           width      0.221    0.095   0.09
shutoff           jitter     0.067    0.018   0.05
shutoff           wind       0.173    0.000   1.00
shutoff           base       0.057    0.029   0.00
shutoff           soot       0.073    0.008   0.00
shutoff           profile    0.027    0.013   0.00
shutoff           floor      0.131    0.000   1.00
  -> oracle cool (gap 0.49) pick width (gap 0.09) value 0.72  [92s]
ignition          amp        0.001    0.000   0.03
ignition          rate       0.001   -0.000   0.68
ignition          rise       0.003    0.033   0.97
ignition          cool       0.026    0.017   0.43
ignition          width      0.076    0.022   0.06
ignition          jitter     0.009    0.000   1.00
ignition          wind       0.118    0.127   0.72
ignition          base       0.041    0.021   0.00
ignition          soot       0.036    0.000   1.00
ignition          bed        0.016    0.011   0.94
ignition          profile    0.010    0.004   0.00
ignition          floor      0.000    0.000   1.00
  -> oracle wind (gap 0.72) pick wind (gap 0.72) value 1.00  [113s]
delayed_ignition  amp        0.002    0.000   0.03
delayed_ignition  rate       0.000   -0.001   0.74
delayed_ignition  rise       0.003    0.035   0.98
delayed_ignition  cool       0.032    0.023   0.47
delayed_ignition  width      0.081    0.022   0.06
delayed_ignition  jitter     0.006    0.000   1.00
delayed_ignition  wind       0.101    0.111   0.70
delayed_ignition  base       0.047    0.025   0.00
delayed_ignition  soot       0.038    0.000   1.00
delayed_ignition  bed        0.031    0.008   0.96
delayed_ignition  profile    0.010    0.005   0.00
delayed_ignition  floor      0.001    0.000   1.00
  -> oracle wind (gap 0.70) pick wind (gap 0.70) value 1.00  [133s]
full              amp        0.000    0.000   0.03
full              rate       0.001   -0.000   0.81
full              rise       0.003    0.072   0.98
full              cool       0.066    0.054   0.48
full              width      0.136    0.034   0.07
full              jitter     0.007    0.000   1.00
full              wind       0.124    0.095   0.73
full              deflect    0.115    0.063   0.08
full              base       0.039    0.020   0.00
full              soot       0.034    0.000   1.00
full              bed        0.006    0.002   0.90
full              profile    0.015    0.008   0.00
full              floor      0.010    0.000   1.00
  -> oracle wind (gap 0.73) pick width (gap 0.07) value 0.35  [156s]
shelf_bed         amp        0.000    0.000   0.04
shelf_bed         rate       0.000   -0.000   0.81
shelf_bed         rise       0.003    0.074   0.98
shelf_bed         cool       0.068    0.058   0.47
shelf_bed         width      0.134    0.035   0.07
shelf_bed         jitter     0.005    0.000   1.00
shelf_bed         wind       0.123    0.045   0.51
shelf_bed         deflect    0.126    0.068   0.12
shelf_bed         base       0.041    0.020   0.00
shelf_bed         soot       0.035    0.000   1.00
shelf_bed         bed        0.000    0.004   0.84
shelf_bed         profile    0.016    0.008   0.00
shelf_bed         floor      0.011    0.000   1.00
  -> oracle rise (gap 0.98) pick width (gap 0.07) value 0.47  [178s]

median gap by class: {'amp': 0.48, 'rate': 0.81, 'rise': 0.98, 'cool': 0.48, 'width': 0.09, 'jitter': 1.0, 'wind': 0.73, 'base': 0.0, 'soot': 1.0, 'profile': 0.0, 'floor': 1.0, 'deflect': 0.13, 'attract': 0.0, 'bed': 0.92}
gap of the oracle's class: median 0.96; value captured median 0.72
