[725.3s] mode c1, K=30, J=8
  k= 1 N=1  kappa_1..8 = 1, 0, 0, 0, 0, 0, 0, 0
  k= 2 N=3  kappa_1..8 = 1.33333, 0.222222, 0.0740741, -0.0740741, -0.123457, 0.0576132, 0.403292, 0.145405
  k= 3 N=12  kappa_1..8 = 1.66667, 0.388889, 0.0925926, -0.101852, -0.0617284, 0.131687, -0.0360082, -0.728567
  k= 4 N=56  kappa_1..8 = 2, 0.535714, 0.107143, -0.110969, -0.0382653, 0.0778972, -0.132015, -0.0163311
  k= 5 N=288  kappa_1..8 = 2.33333, 0.673611, 0.122685, -0.1182, -0.038098, 0.0450043, -0.0618469, 0.212564
  k= 6 N=1584  kappa_1..8 = 2.66667, 0.806818, 0.13931, -0.126688, -0.045834, 0.0350047, 0.00492957, 0.16662
  k= 7 N=9152  kappa_1..8 = 3, 0.937281, 0.156687, -0.136582, -0.0557929, 0.0359487, 0.0463565, 0.0821886
  k= 8 N=54912  kappa_1..8 = 3.33333, 1.06601, 0.174562, -0.147561, -0.0661757, 0.0412642, 0.0709367, 0.0197522
  k= 9 N=339456  kappa_1..8 = 3.66667, 1.19357, 0.192771, -0.159322, -0.0764612, 0.0481463, 0.0867236, -0.0191681
  k=10 N=2149888  kappa_1..8 = 4, 1.32031, 0.211208, -0.171643, -0.0865301, 0.0554845, 0.0982495, -0.0427266
  k=11 N=13891584  kappa_1..8 = 4.33333, 1.44646, 0.229808, -0.184371, -0.0963835, 0.0628598, 0.107773, -0.0574714
  k=12 N=91287552  kappa_1..8 = 4.66667, 1.57216, 0.248526, -0.1974, -0.106053, 0.0701274, 0.116382, -0.0673808
  k=13 N=608583680  kappa_1..8 = 5, 1.69751, 0.267332, -0.210656, -0.115574, 0.0772498, 0.124593, -0.0746781
  k=14 N=4107939840  kappa_1..8 = 5.33333, 1.82259, 0.286205, -0.224087, -0.124977, 0.0842294, 0.132655, -0.0805735
  k=15 N=28030648320  kappa_1..8 = 5.66667, 1.94746, 0.305131, -0.237654, -0.134285, 0.091082, 0.140684, -0.0857229
  k=16 N=193100021760  kappa_1..8 = 6, 2.07214, 0.324097, -0.251329, -0.143518, 0.0978262, 0.14873, -0.0904832
  k=17 N=1341536993280  kappa_1..8 = 6.33333, 2.19669, 0.343096, -0.265092, -0.152691, 0.104479, 0.156817, -0.0950495
  k=18 N=9390758952960  kappa_1..8 = 6.66667, 2.32111, 0.362122, -0.278927, -0.161814, 0.111056, 0.164952, -0.0995288
  k=19 N=66182491668480  kappa_1..8 = 7, 2.44543, 0.381169, -0.29282, -0.170898, 0.11757, 0.173134, -0.103979
  k=20 N=469294031831040  kappa_1..8 = 7.33333, 2.56966, 0.400235, -0.306762, -0.179948, 0.124031, 0.181359, -0.108432
  k=21 N=3346270487838720  kappa_1..8 = 7.66667, 2.69382, 0.419317, -0.320746, -0.188971, 0.130448, 0.189625, -0.112902
  k=22 N=23981605162844160  kappa_1..8 = 8, 2.81792, 0.438411, -0.334765, -0.197971, 0.136827, 0.197925, -0.117398
  k=23 N=172667557172477952  kappa_1..8 = 8.33333, 2.94196, 0.457517, -0.348815, -0.206951, 0.143174, 0.206256, -0.121923
  k=24 N=1248519259554840576  kappa_1..8 = 8.66667, 3.06595, 0.476632, -0.36289, -0.215914, 0.149494, 0.214614, -0.126476
  k=25 N=9063324995286990848  kappa_1..8 = 9, 3.1899, 0.495755, -0.376988, -0.224864, 0.155791, 0.222996, -0.131056
  k=26 N=66032796394233790464  kappa_1..8 = 9.33333, 3.31381, 0.514885, -0.391105, -0.233801, 0.162068, 0.231397, -0.135661
  k=27 N=482722511571640123392  kappa_1..8 = 9.66667, 3.43768, 0.534022, -0.40524, -0.242728, 0.168328, 0.239817, -0.14029
  k=28 N=3539965084858694238208  kappa_1..8 = 10, 3.56153, 0.553164, -0.41939, -0.251645, 0.174573, 0.248252, -0.144939
  k=29 N=26035872237025235042304  kappa_1..8 = 10.3333, 3.68535, 0.572311, -0.433554, -0.260554, 0.180804, 0.2567, -0.149608
  k=30 N=192014557748061108436992  kappa_1..8 = 10.6667, 3.80914, 0.591463, -0.447729, -0.269456, 0.187024, 0.265161, -0.154293
wrote /home/user/Spoti-pi/poc/results/hyper_cumulants_c1.json
