longitude,latitude,age,rooms,bedrooms,population,households,income,value
-122.26,37.85,52,3503,752,1504,734,3.2705,241800
-122.26,37.84,52,696,191,345,174,2.6736,191300
-122.26,37.85,50,1120,283,697,264,2.125,140000
-122.27,37.84,52,1503,298,690,275,2.6033,162900
-122.26,37.83,52,1443,311,660,292,3.0125,184400
-122.27,37.82,41,3221,853,1959,720,1.1108,97500
-122.28,37.82,52,1238,288,622,259,1.5057,87500
-122.3,37.81,48,828,182,392,133,2.5938,73500
-122.28,37.81,17,924,289,609,289,1.5,162500
-122.27,37.8,10,105,42,125,39,0.9722,137500
-122.26,37.8,36,5329,2477,3469,2323,2.0096,130000
-122.26,37.82,22,3682,1270,2024,1250,1.2185,170000
-122.25,37.81,28,5806,1603,2563,1497,3.2177,273400
-122.26,37.81,34,5871,1914,2689,1789,2.8406,335700
-122.24,37.81,52,2026,482,709,456,3.2727,268500
-122.25,37.82,28,3337,855,1520,802,3.9063,225000
-122.25,37.82,26,3959,1196,1749,1217,3.0233,255000
-122.25,37.83,35,1613,428,675,422,3.4722,243100
-122.21,37.84,34,3038,490,1140,496,7.0548,325900
-122.2,37.84,35,2865,460,1072,443,7.4882,319300
-122.18,37.81,30,292,38,126,52,6.3624,483300
-122.2,37.81,45,2964,436,1067,426,6.7851,323500
-122.22,37.8,52,2183,465,1129,460,3.2632,227700
-122.23,37.81,52,2315,292,861,258,8.8793,410300
-122.23,37.81,52,2814,365,878,352,7.508,348700
-122.24,37.81,52,2093,550,918,483,2.7477,243800
-122.25,37.81,46,3232,835,1373,747,3.225,218800
-122.25,37.8,41,1471,469,1062,413,1.6121,171400
-122.25,37.8,29,2468,864,1335,773,1.3929,193800
-122.25,37.79,50,629,188,742,196,2.6458,125000
-122.25,37.8,36,1678,606,1645,543,2.2303,116700
-122.23,37.79,43,5963,1344,4367,1231,2.1917,112800
-122.23,37.79,30,999,264,1011,263,1.8854,137500
-122.25,37.79,39,461,129,381,123,1.6,112500
-122.25,37.79,52,902,237,846,227,3.625,125000
-122.22,37.77,52,391,128,520,138,1.6471,95000
-122.22,37.79,38,3049,711,2167,659,2.7969,141700
-122.2,37.8,52,1547,293,706,268,4.7721,217100
-122.19,37.8,48,1694,259,610,238,4.744,257300
-122.19,37.79,28,3144,761,1737,669,2.9297,140500
-122.2,37.79,35,1802,459,1009,390,2.3036,126000
-122.21,37.77,46,1234,375,1183,354,2.3309,98700
-122.2,37.78,50,1867,403,1128,378,2.5401,129100
-122.19,37.78,52,1070,193,555,190,3.7262,166900
-122.18,37.81,37,1643,262,620,266,5.4446,336700
-122.17,37.77,30,3326,746,1704,703,2.875,135300
-122.17,37.78,52,653,128,296,121,4.175,144000
-122.18,37.76,50,1187,261,907,246,1.9479,89500
-122.18,37.77,42,1180,257,877,268,2.8125,97300
-122.19,37.76,52,2024,391,1030,350,2.4659,94700
-122.2,37.76,47,1116,259,826,279,1.75,85700
-122.2,37.76,37,2680,736,1925,667,1.4097,84600
-122.19,37.74,36,847,212,567,159,1.1765,87100
-122.19,37.73,45,1528,291,801,287,1.2625,84700
-122.17,37.74,46,769,183,693,178,2.25,84200
-122.17,37.75,41,1257,271,828,230,2.5043,92300
-122.15,37.76,39,1823,286,763,270,6.0749,196900
-122.14,37.76,34,1513,231,545,211,5.5701,252800
-122.15,37.75,40,1445,256,849,255,3.8913,126300
-122.15,37.75,44,1938,399,946,331,3.225,135800
-122.15,37.74,49,1325,277,764,282,3.3125,118000
-122.17,37.75,37,1379,287,835,259,2.4962,91800
-122.29,37.89,52,2248,422,870,377,3.4732,246200
-122.3,37.89,52,1248,283,620,275,4.0875,221300
-122.27,37.9,42,1650,274,645,256,5.6228,375400
-122.27,37.9,52,1803,240,572,236,6.174,358800
-122.28,37.9,52,2318,328,779,312,7.1754,362900
-122.28,37.9,52,2261,328,819,335,4.9083,346800
-122.25,37.89,42,2863,460,1031,448,6.7138,368600
-122.29,37.88,48,2365,490,1034,475,3.1065,229200
-122.29,37.85,52,477,119,218,106,2.5682,120000
-122.3,37.88,46,1647,376,854,355,2.9,144800
-122.28,37.88,52,957,188,403,172,3.2344,245500
-122.28,37.87,49,2026,548,963,521,1.9805,173700
-122.29,37.87,52,895,198,386,204,3.875,182600
-122.28,37.87,46,3022,696,1293,675,2.543,220700
-122.28,37.87,46,1777,446,805,431,2.8676,212000
-122.26,37.87,52,1087,371,3337,350,1.4012,175000
-122.27,37.87,35,3218,1108,1675,1000,1.7464,216700
-122.27,37.87,49,1350,368,707,350,2.8846,211300
-122.28,37.87,52,1233,300,571,292,2.2788,182300
-122.27,37.86,49,2052,435,924,414,2.5417,182700
-122.27,37.86,52,1769,372,849,365,2.6914,218800
-122.26,37.86,52,3497,832,1493,794,2.9044,257400
-122.25,37.86,52,1709,318,719,295,5.0463,456300
-122.24,37.85,52,3726,474,1366,496,9.3959,500001
-122.26,37.85,52,3618,768,1508,755,3.2619,309600
-122.27,37.85,47,2077,400,719,326,2.2431,172700
-122.29,37.84,35,1872,419,1017,414,2.2106,132500
-122.22,37.82,39,2492,310,808,315,11.8603,500001
-122.24,37.83,52,1757,246,585,227,5.8948,457800
-122.23,37.82,52,1611,203,556,179,8.7477,500001
-122.25,37.82,52,2474,403,1104,398,5.883,340700
-122.25,37.77,52,2156,458,872,445,3.2685,254200
-122.25,37.77,43,4329,1110,2086,1053,2.975,243400
-122.23,37.76,52,1049,185,374,176,4.1458,248500
-122.23,37.76,52,1705,246,658,253,5.75,306300
-122.1,37.72,30,2599,366,922,350,5.8382,330200
-122.1,37.7,25,2973,622,1413,595,4.3819,209200
-122.07,37.69,29,2304,618,1021,552,2.5362,203800
-122.08,37.69,42,1414,274,629,244,3.3478,184900
-122.17,37.73,52,1555,289,620,292,3.7159,183300
-122.18,37.72,45,1498,313,1003,305,3.8047,156700
-122.18,37.71,45,726,147,519,135,3.375,157500
-122.17,37.72,42,3008,659,1817,664,3.371,165000
-122.17,37.72,5,1692,398,814,328,3.663,158300
-122.14,37.73,38,1723,394,711,353,3.0673,218400
-122.15,37.71,36,998,178,531,183,4.0208,191500
-122.14,37.7,17,1463,292,695,330,4.5859,187200
-122.12,37.69,30,1197,269,695,279,3.4375,157800
-122.12,37.7,17,2488,617,1287,538,2.9922,179900
-122.12,37.7,19,2495,635,1571,579,2.5833,159900
-122.06,37.68,30,5367,1207,2667,1047,3.1796,170300
-122.08,37.68,26,1167,370,253,137,2.4196,275000
-122.09,37.68,29,2333,538,1120,540,2.4042,205600
-122.1,37.68,37,2116,503,1109,448,2.535,174000
-122.1,37.68,38,1779,413,1061,400,3.0962,180900
-122.15,37.67,35,2472,398,1171,390,5.5797,198100
-122.13,37.67,40,1748,318,914,317,3.8676,184000
-122.12,37.67,33,3429,681,1798,694,3.9395,184700
-122.11,37.67,32,3028,811,2037,703,3.0645,165400
-122.07,37.67,28,2932,739,1198,624,3.2417,210800
